# x y xv yv likelihood flux
41 32 12.4322 15.6665 45.4203 38.3872
41 33 12.4322 15.6665 43.1955 36.5068
40 31 12.4322 15.6665 43.0805 34.0581
39 31 13.9341 14.3471 42.7729 33.815
25 45 16.5067 11.2928 42.0754 47.0417
40 32 12.4322 15.6665 41.3971 32.7273
41 35 15.2968 12.8844 40.561 37.0269
26 45 13.9341 14.3471 40.4371 45.2101
24 44 16.5067 11.2928 40.4285 40.4285
42 36 15.2968 12.8844 40.1041 40.1041
25 43 12.4322 15.6665 40.0306 40.0306
25 44 15.2968 12.8844 39.794 39.794
44 38 16.5067 11.2928 39.7558 44.4484
40 31 16.1619 20.3665 39.7505 36.2871
40 32 16.0243 16.4992 39.4662 36.0275
38 30 13.9341 14.3471 39.3892 29.359
40 32 13.9341 14.3471 39.3377 33.2464
43 37 16.5067 11.2928 39.2819 43.9185
39 30 12.4322 15.6665 39.2602 29.2628
25 44 13.9341 14.3471 39.0768 43.6892
40 33 16.0243 16.4992 39.0759 35.6712
39 30 18.0267 22.7165 38.9792 35.583
41 34 18.1144 18.6513 38.8901 38.8901
41 33 14.297 18.0165 38.8643 35.4781
42 35 15.2968 12.8844 38.7884 38.7884
42 35 13.9341 14.3471 38.6835 35.3131
30 5 12.4322 15.6665 38.6595 27.3364
5 1 12.4322 15.6665 38.6563 27.3341
43 38 16.5067 11.2928 38.6474 43.2091
39 30 16.1619 20.3665 38.5007 32.5391
26 44 12.4322 15.6665 38.4903 43.0335
26 44 13.9341 14.3471 38.4851 43.0277
39 31 16.0243 16.4992 38.4653 32.5091
25 45 17.5914 14.817 38.4514 42.99
44 37 13.9341 14.3471 38.4339 42.9704
25 44 16.0243 16.4992 38.4116 42.9454
25 44 17.5914 14.817 38.4064 42.9397
26 45 16.5067 11.2928 38.2787 42.7968
40 30 12.4322 15.6665 38.1939 30.1949
41 31 12.4322 15.6665 38.1494 32.2421
41 35 17.5914 14.817 38.0323 38.0323
39 32 13.9341 14.3471 38.0273 30.0632
6 1 12.4322 15.6665 37.9229 26.8155
39 30 19.6013 3.97339 37.8828 34.5821
39 30 19.1067 5.9104 37.8261 34.5303
38 31 13.9341 14.3471 37.8259 28.1937
26 45 17.5914 14.817 37.739 42.1935
39 31 20 0 37.7091 34.4235
