t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num
532.0,489.0,0.0,0.0,-125.45,468.288,18.358,11074.396,1.0
1524.0,1080.0,0.0,0.0,70.87,333.35,10.955,6027.661,1.0
528.0,3528.0,0.0,0.0,76.859,361.52,9.115,3163.862,1.0
710.0,729.0,0.0,0.0,474.207,100.793,8.639,1431.839,1.0
1659.0,647.0,0.0,0.0,357.007,95.657,8.011,2786.81,1.0
1765.0,709.0,0.0,0.0,-122.894,-189.189,8.011,2786.81,1.0
1706.0,546.0,0.0,0.0,147.859,551.731,8.002,2781.078,1.0
1806.0,562.0,0.0,0.0,-311.067,479.068,8.002,2781.036,1.0
1232.0,28.0,0.0,0.0,107.19,165.047,7.536,2466.037,1.0
572.0,1512.0,0.0,0.0,-184.119,-479.463,7.239,1003.289,1.0
1218.0,3450.0,0.0,0.0,-232.297,521.831,6.93,720.091,1.0
1534.0,2285.0,0.0,0.0,-141.585,245.267,6.928,1790.652,1.0
511.0,1914.0,0.0,0.0,542.4,0.0,6.869,1263.049,1.0
648.0,1915.0,0.0,0.0,-81.154,-8.522,6.869,1263.049,1.0
738.0,1860.0,0.0,0.0,-483.263,246.283,6.867,1262.29,1.0
1377.0,96.0,0.0,0.0,-551.752,-147.782,6.696,1943.41,1.0
1519.0,110.0,0.0,0.0,424.493,382.198,6.682,1484.064,1.0
1674.0,181.0,0.0,0.0,-277.006,58.905,6.683,1484.135,1.0
1460.0,1373.0,0.0,0.0,147.859,551.731,6.606,2184.638,1.0
1588.0,1464.0,0.0,0.0,-433.67,140.948,6.606,2184.638,1.0
1448.0,1556.0,0.0,0.0,200.274,-275.745,6.606,2184.638,1.0
1902.0,659.0,0.0,0.0,-564.16,89.405,6.426,1467.768,1.0
1687.0,2629.0,0.0,0.0,446.036,94.805,6.426,1182.114,1.0
951.0,2561.0,0.0,0.0,245.261,141.596,5.614,460.834,1.0
312.0,2896.0,0.0,0.0,462.117,335.734,5.307,668.398,1.0
1014.0,2153.0,0.0,0.0,141.562,-245.28,5.3,1128.583,1.0
1154.0,2052.0,0.0,0.0,-495.489,220.654,5.255,1651.67,1.0
1543.0,256.0,0.0,0.0,317.425,-285.904,5.142,570.745,1.0
489.0,2877.0,0.0,0.0,-341.315,421.547,5.118,1546.595,1.0
450.0,2768.0,0.0,0.0,259.336,508.935,5.016,555.58,1.0
