,visit_num,tract_id,filter,field_name,image_mjd,field,ra,dec
0,406285,12,r,Blind15A_01,57057.1634104,1,09:13:31.152,-06:18:04.68
1,406287,12,r,Blind15A_01,57057.1660565,1,09:13:31.152,-06:18:04.68
2,406288,13,r,Blind15A_02,57057.1673341,2,09:08:53.952,-04:18:02.81
3,406289,14,r,Blind15A_03,57057.1686091,3,09:13:30.840,-02:17:49.30
4,406290,15,r,Blind15A_04,57057.1698777,4,09:08:53.952,-00:17:59.06
5,406291,16,r,Blind15A_05,57057.1711537,5,09:13:31.152,+01:42:02.81
6,406292,17,r,Blind15A_06,57057.172448,6,09:22:45.552,+01:42:02.81
7,406293,18,r,Blind15A_07,57057.1737201,7,09:18:08.352,-00:17:59.06
8,406294,10,r,Blind15A_08,57057.1750615,8,09:22:45.552,-02:18:00.94
9,406295,11,r,Blind15A_09,57057.176322,9,09:18:08.352,-04:18:02.81
10,406296,5,r,Blind15A_10,57057.177593,10,09:22:45.552,-06:18:04.68
11,406297,4,r,Blind15A_11,57057.178882,11,09:31:59.952,-06:18:04.68
12,406298,3,r,Blind15A_12,57057.1801484,12,09:27:22.752,-04:18:02.81
13,406299,2,r,Blind15A_13,57057.1814276,13,09:31:59.952,-02:18:00.94
14,406300,9,r,Blind15A_14,57057.1827061,14,09:27:22.752,-00:17:59.06
15,406301,8,r,Blind15A_15,57057.183982,15,09:31:59.952,+01:42:02.81
16,406302,7,r,Blind15A_16,57057.1853459,16,09:41:14.352,+01:42:02.81
17,406303,6,r,Blind15A_17,57057.1866154,17,09:36:37.152,-00:17:59.06
18,406304,1,r,Blind15A_18,57057.1878976,18,09:41:14.352,-02:18:00.94
19,406305,0,r,Blind15A_19,57057.1891748,19,09:36:37.152,-04:18:02.81
20,406306,31,r,Blind15A_20,57057.19044,20,09:41:14.352,-06:18:04.68
21,406307,32,r,Blind15A_21,57057.1917342,21,09:50:28.752,-06:18:04.68
22,406308,29,r,Blind15A_22,57057.1930026,22,09:45:51.552,-04:18:02.81
23,406309,30,r,Blind15A_23,57057.1942858,23,09:50:28.752,-02:18:00.94
24,406310,35,r,Blind15A_24,57057.1955484,24,09:49:33.312,-00:04:07.46
25,406311,36,r,Blind15A_25,57057.1968267,25,09:50:28.752,+02:09:46.01
26,410840,12,r,Blind15A_01,57070.0391916,1,09:13:31.152,-06:18:04.68
27,410841,13,r,Blind15A_02,57070.0405161,2,09:08:53.952,-04:18:02.81
28,410842,14,r,Blind15A_03,57070.0418384,3,09:13:30.840,-02:17:49.30
29,410843,15,r,Blind15A_04,57070.0431779,4,09:08:53.952,-00:17:59.06
30,410844,16,r,Blind15A_05,57070.0445174,5,09:13:31.152,+01:42:02.81
31,410845,17,r,Blind15A_06,57070.0458852,6,09:22:45.552,+01:42:02.81
32,410846,18,r,Blind15A_07,57070.0472192,7,09:18:08.352,-00:17:59.06
33,410847,10,r,Blind15A_08,57070.0485386,8,09:22:45.552,-02:18:00.94
34,410848,11,r,Blind15A_09,57070.049923,9,09:18:08.352,-04:18:02.81
35,410849,5,r,Blind15A_10,57070.0513244,10,09:22:45.552,-06:18:04.68
36,410850,4,r,Blind15A_11,57070.0526899,11,09:31:59.952,-06:18:04.68
37,410851,3,r,Blind15A_12,57070.0540916,12,09:27:22.752,-04:18:02.81
38,410852,2,r,Blind15A_13,57070.0554793,13,09:31:59.952,-02:18:00.94
39,410853,9,r,Blind15A_14,57070.0568767,14,09:27:22.752,-00:17:59.06
40,410854,8,r,Blind15A_15,57070.0582254,15,09:31:59.952,+01:42:02.81
41,410855,7,r,Blind15A_16,57070.0596599,16,09:41:14.352,+01:42:02.81
42,410856,6,r,Blind15A_17,57070.0610353,17,09:36:37.152,-00:17:59.06
43,410857,1,r,Blind15A_18,57070.0623752,18,09:41:14.352,-02:18:00.94
44,410858,0,r,Blind15A_19,57070.063707,19,09:36:37.152,-04:18:02.81
45,410859,31,r,Blind15A_20,57070.0650352,20,09:41:14.352,-06:18:04.68
46,410860,32,r,Blind15A_21,57070.0663926,21,09:50:28.752,-06:18:04.68
47,410861,29,r,Blind15A_22,57070.0677186,22,09:45:51.552,-04:18:02.81
48,410862,30,r,Blind15A_23,57070.0690466,23,09:50:28.752,-02:18:00.94
49,410863,35,r,Blind15A_24,57070.0703769,24,09:49:33.312,-00:04:07.46
50,410864,36,r,Blind15A_25,57070.0717088,25,09:50:28.752,+02:09:46.01
51,410865,33,r,Blind15A_26,57070.0730778,26,10:00:28.800,+02:12:36.00
52,410866,34,r,Blind15A_27,57070.07447,27,09:58:48.000,+00:09:00.00
53,410867,37,r,Blind15A_28,57070.0758081,28,10:00:20.760,-02:05:44.81
54,410868,38,r,Blind15A_29,57070.0771529,29,09:55:43.560,-04:05:46.68
55,410869,26,r,Blind15A_30,57070.0784897,30,10:00:20.760,-06:05:48.55
56,410870,25,r,Blind15A_31,57070.0798618,31,10:09:35.160,-06:05:48.55
57,410871,28,r,Blind15A_32,57070.0811861,32,10:04:02.520,-04:05:46.68
58,410872,27,r,Blind15A_33,57070.0825178,33,10:08:46.394,-02:05:44.81
