,t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
0,761.0,202.0,0.0,0.0,-203.165,90.475,8.465,574.157,1.0,[ 0.         0.0680811  0.1529817  0.2217066]
1,1822.0,54.0,0.0,0.0,-29.363,7.871,5.911,256.453,1.0,[ 0.         0.0680811  0.1529817  0.2217066]
2,258.0,333.0,0.0,0.0,-336.531,-302.944,5.469,361.904,1.0,[ 0.         0.0680811  0.1529817  0.2217066]
3,958.0,1482.0,0.0,0.0,85.585,117.791,5.304,360.538,1.0,[ 0.         0.0680811  0.1529817  0.2217066]
4,1625.0,3324.0,0.0,0.0,232.354,-118.441,5.252,315.955,1.0,[ 0.         0.0680811  0.1529817  0.2217066]
0,743.0,689.0,0.0,0.0,406.268,-132.084,16.638,1123.565,2.0,[ 0.         0.0680697  0.153044   0.2217088]
1,1059.0,1738.0,0.0,0.0,-100.678,-375.539,6.548,368.566,2.0,[ 0.         0.0680697  0.153044   0.2217088]
2,705.0,368.0,0.0,0.0,-122.222,-455.901,5.56,330.436,2.0,[ 0.         0.0680697  0.153044   0.2217088]
0,1884.0,562.0,0.0,0.0,95.66,118.124,27.386,2092.878,3.0,[ 0.         0.0680669  0.153106   0.2217407]
1,431.0,3191.0,0.0,0.0,-91.181,24.44,6.386,2041.359,3.0,[ 0.         0.0680669  0.153106   0.2217407]
2,61.0,944.0,0.0,0.0,0.019,420.8,6.244,519.311,3.0,[ 0.         0.0680669  0.153106   0.2217407]
3,265.0,1955.0,0.0,0.0,-272.913,-336.938,5.28,380.114,3.0,[ 0.         0.0680669  0.153106   0.2217407]
0,1896.0,534.0,0.0,0.0,27.941,265.735,24.656,1430.83,5.0,[ 0.         0.0680476  0.1532052  0.2218423]
1,1151.0,1189.0,0.0,0.0,-98.952,369.375,8.167,603.087,5.0,[ 0.         0.0680476  0.1532052  0.2218423]
2,1912.0,1468.0,0.0,0.0,246.171,-483.32,6.018,404.515,5.0,[ 0.         0.0680476  0.1532052  0.2218423]
3,1825.0,3616.0,0.0,0.0,265.829,-265.915,5.602,300.4,5.0,[ 0.         0.0680476  0.1532052  0.2218423]
4,1973.0,1319.0,0.0,0.0,-159.673,491.515,5.222,314.212,5.0,[ 0.         0.0680476  0.1532052  0.2218423]
0,1862.0,592.0,0.0,0.0,170.262,17.895,18.928,1256.264,6.0,[ 0.         0.0680424  0.153202   0.2218343]
1,1094.0,3027.0,0.0,0.0,31.152,95.865,8.165,734.35,6.0,[ 0.         0.0680424  0.153202   0.2218343]
