t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1975.0,1173.0,0.0,0.0,-113.871,255.799,8.607,452.239,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
907.0,2598.0,0.0,0.0,-10.898,-21.383,8.576,381.243,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1862.0,1198.0,0.0,0.0,376.767,305.087,6.158,263.719,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1922.0,1388.0,0.0,0.0,89.775,-567.341,6.144,281.427,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1917.0,1388.0,0.0,0.0,114.024,-536.824,5.817,271.365,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
893.0,2581.0,0.0,0.0,80.298,89.175,5.793,296.329,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1893.0,1107.0,0.0,0.0,207.614,466.267,5.552,243.091,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
928.0,2617.0,0.0,0.0,-107.493,-107.468,5.533,259.807,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1238.0,390.0,0.0,0.0,-224.082,145.544,5.532,306.348,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1921.0,1392.0,0.0,0.0,92.775,-586.305,5.531,240.881,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1828.0,1187.0,0.0,0.0,448.9,145.852,5.528,253.75,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1892.0,1107.0,0.0,0.0,207.614,466.267,5.524,235.663,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1831.0,1190.0,0.0,0.0,443.554,118.846,5.287,244.725,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1937.0,1403.0,0.0,0.0,30.649,-586.4,5.276,239.292,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
892.0,2576.0,0.0,0.0,91.632,113.15,5.239,265.6,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1911.0,1393.0,0.0,0.0,120.673,-568.126,5.059,229.247,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
892.0,2575.0,0.0,0.0,91.632,113.15,5.048,262.982,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
1832.0,1185.0,0.0,0.0,434.677,166.851,5.043,232.042,23.0,[ 0.         0.0675994  0.1531014  0.2218213  0.2688278]
