# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
158 346 0.0 0.0 -129.387 253.937 188.274 0.0
113 363 0.0 0.0 271.614 -43.020 181.766 0.0
115 366 0.0 0.0 257.678 -61.863 181.766 0.0
117 369 0.0 0.0 247.275 -80.345 181.766 0.0
114 370 0.0 0.0 266.296 -86.525 181.766 0.0
116 373 0.0 0.0 254.067 -105.238 181.766 0.0
118 376 0.0 0.0 240.572 -122.578 181.766 0.0
116 377 0.0 0.0 253.937 -129.387 181.766 0.0
121 378 0.0 0.0 221.686 -135.850 181.766 0.0
112 379 0.0 0.0 276.212 -140.737 181.766 0.0
116 381 0.0 0.0 251.529 -154.137 181.766 0.0
115 382 0.0 0.0 260.055 -159.362 181.766 0.0
113 383 0.0 0.0 272.845 -167.200 181.766 0.0
118 384 0.0 0.0 238.660 -173.397 181.766 0.0
124 384 0.0 0.0 201.508 -172.104 181.766 0.0
117 385 0.0 0.0 246.750 -179.275 181.766 0.0
114 387 0.0 0.0 262.931 -191.030 181.766 0.0
113 388 0.0 0.0 271.021 -196.908 181.766 0.0
119 388 0.0 0.0 231.924 -198.082 181.766 0.0
112 389 0.0 0.0 279.111 -202.786 181.766 0.0
118 389 0.0 0.0 239.528 -204.576 181.766 0.0
124 389 0.0 0.0 201.525 -201.525 181.766 0.0
117 390 0.0 0.0 247.132 -211.071 181.766 0.0
116 391 0.0 0.0 250.934 -214.318 181.766 0.0
115 392 0.0 0.0 258.538 -220.812 181.766 0.0
114 393 0.0 0.0 266.142 -227.307 181.766 0.0
120 393 0.0 0.0 226.274 -226.274 181.766 0.0
119 394 0.0 0.0 233.345 -233.345 181.766 0.0
124 394 0.0 0.0 201.329 -235.726 181.766 0.0
118 395 0.0 0.0 240.416 -240.416 181.766 0.0
117 396 0.0 0.0 247.487 -247.487 181.766 0.0
116 397 0.0 0.0 251.023 -251.023 181.766 0.0
122 397 0.0 0.0 214.318 -250.934 181.766 0.0
115 398 0.0 0.0 258.094 -258.094 181.766 0.0
121 398 0.0 0.0 220.812 -258.538 181.766 0.0
114 399 0.0 0.0 265.165 -265.165 181.766 0.0
120 399 0.0 0.0 227.307 -266.142 181.766 0.0
113 400 0.0 0.0 268.701 -268.701 181.766 0.0
112 401 0.0 0.0 275.772 -275.772 181.766 0.0
118 402 0.0 0.0 240.296 -281.350 181.766 0.0
117 403 0.0 0.0 246.790 -288.954 181.766 0.0
116 404 0.0 0.0 253.285 -296.558 181.766 0.0
122 404 0.0 0.0 214.542 -295.291 181.766 0.0
115 405 0.0 0.0 256.532 -300.360 181.766 0.0
121 405 0.0 0.0 220.419 -303.381 181.766 0.0
120 407 0.0 0.0 226.297 -311.472 181.766 0.0
119 408 0.0 0.0 232.175 -319.562 181.766 0.0
119 312 0.0 0.0 233.801 273.746 181.535 0.0
123 317 0.0 0.0 207.823 243.330 181.535 0.0
112 318 0.0 0.0 277.548 237.049 181.535 0.0
113 319 0.0 0.0 269.944 230.554 181.535 0.0
114 320 0.0 0.0 262.340 224.060 181.535 0.0
126 320 0.0 0.0 191.587 224.320 181.535 0.0
116 321 0.0 0.0 254.736 217.565 181.535 0.0
112 324 0.0 0.0 275.066 199.847 181.535 0.0
114 325 0.0 0.0 266.976 193.969 181.535 0.0
120 325 0.0 0.0 228.122 194.834 181.535 0.0
130 325 0.0 0.0 165.609 193.904 181.535 0.0
115 326 0.0 0.0 258.885 188.091 181.535 0.0
121 326 0.0 0.0 220.518 188.340 181.535 0.0
116 327 0.0 0.0 250.795 182.213 181.535 0.0
112 329 0.0 0.0 277.108 169.812 181.535 0.0
119 329 0.0 0.0 234.615 170.458 181.535 0.0
125 329 0.0 0.0 197.706 168.856 181.535 0.0
113 330 0.0 0.0 268.582 164.587 181.535 0.0
114 330 0.0 0.0 264.318 161.975 181.535 0.0
120 330 0.0 0.0 226.525 164.580 181.535 0.0
121 330 0.0 0.0 222.480 161.641 181.535 0.0
126 330 0.0 0.0 190.101 162.362 181.535 0.0
122 331 0.0 0.0 214.390 155.763 181.535 0.0
117 332 0.0 0.0 247.266 151.525 181.535 0.0
118 333 0.0 0.0 238.739 146.300 181.535 0.0
119 333 0.0 0.0 234.476 143.687 181.535 0.0
113 334 0.0 0.0 271.757 138.467 181.535 0.0
120 334 0.0 0.0 225.950 138.462 181.535 0.0
114 335 0.0 0.0 262.847 133.927 181.535 0.0
115 335 0.0 0.0 258.392 131.657 181.535 0.0
122 335 0.0 0.0 217.423 133.237 181.535 0.0
117 336 0.0 0.0 245.027 124.847 181.535 0.0
119 337 0.0 0.0 236.117 120.307 181.535 0.0
112 338 0.0 0.0 277.164 114.805 181.535 0.0
113 338 0.0 0.0 272.544 112.892 181.535 0.0
120 338 0.0 0.0 227.207 115.768 181.535 0.0
121 338 0.0 0.0 222.752 113.498 181.535 0.0
114 339 0.0 0.0 263.306 109.065 181.535 0.0
115 339 0.0 0.0 258.686 107.151 181.535 0.0
117 340 0.0 0.0 244.828 101.411 181.535 0.0
118 340 0.0 0.0 240.209 99.498 181.535 0.0
112 342 0.0 0.0 275.806 89.615 181.535 0.0
113 342 0.0 0.0 271.051 88.070 181.535 0.0
115 343 0.0 0.0 256.785 83.435 181.535 0.0
116 343 0.0 0.0 252.030 81.889 181.535 0.0
112 346 0.0 0.0 277.125 66.532 181.535 0.0
113 346 0.0 0.0 272.264 65.365 181.535 0.0
114 346 0.0 0.0 262.540 63.030 181.535 0.0
116 347 0.0 0.0 252.816 60.696 181.535 0.0
117 347 0.0 0.0 247.954 59.529 181.535 0.0
112 349 0.0 0.0 276.553 43.802 181.535 0.0
114 350 0.0 0.0 266.676 42.237 181.535 0.0
115 350 0.0 0.0 256.799 40.673 181.535 0.0
116 350 0.0 0.0 251.861 39.891 181.535 0.0
117 350 0.0 0.0 246.922 39.109 181.535 0.0
112 353 0.0 0.0 279.137 21.969 181.535 0.0
113 353 0.0 0.0 269.168 21.184 181.535 0.0
114 353 0.0 0.0 264.183 20.792 181.535 0.0
115 353 0.0 0.0 259.198 20.399 181.535 0.0
116 353 0.0 0.0 254.214 20.007 181.535 0.0
112 356 0.0 0.0 275.000 0.000 181.535 0.0
113 356 0.0 0.0 270.000 0.000 181.535 0.0
114 356 0.0 0.0 265.000 0.000 181.535 0.0
115 356 0.0 0.0 260.000 0.000 181.535 0.0
112 359 0.0 0.0 279.137 -21.969 181.535 0.0
113 359 0.0 0.0 269.168 -21.184 181.535 0.0
114 359 0.0 0.0 264.183 -20.792 181.535 0.0
115 359 0.0 0.0 259.198 -20.399 181.535 0.0
116 359 0.0 0.0 254.214 -20.007 181.535 0.0
114 362 0.0 0.0 266.676 -42.237 181.535 0.0
115 362 0.0 0.0 256.799 -40.673 181.535 0.0
116 362 0.0 0.0 251.861 -39.891 181.535 0.0
117 362 0.0 0.0 246.922 -39.109 181.535 0.0
112 363 0.0 0.0 276.553 -43.802 181.535 0.0
116 365 0.0 0.0 252.816 -60.696 181.535 0.0
117 365 0.0 0.0 247.954 -59.529 181.535 0.0
112 366 0.0 0.0 277.125 -66.532 181.535 0.0
113 366 0.0 0.0 272.264 -65.365 181.535 0.0
114 366 0.0 0.0 262.540 -63.030 181.535 0.0
115 369 0.0 0.0 256.785 -83.435 181.535 0.0
116 369 0.0 0.0 252.030 -81.890 181.535 0.0
112 370 0.0 0.0 275.806 -89.615 181.535 0.0
113 370 0.0 0.0 271.051 -88.070 181.535 0.0
117 372 0.0 0.0 244.828 -101.411 181.535 0.0
118 372 0.0 0.0 240.209 -99.498 181.535 0.0
114 373 0.0 0.0 263.306 -109.065 181.535 0.0
115 373 0.0 0.0 258.686 -107.151 181.535 0.0
112 374 0.0 0.0 277.164 -114.805 181.535 0.0
113 374 0.0 0.0 272.544 -112.892 181.535 0.0
114 374 0.0 0.0 267.925 -110.978 181.535 0.0
120 374 0.0 0.0 227.207 -115.768 181.535 0.0
117 376 0.0 0.0 245.027 -124.848 181.535 0.0
114 377 0.0 0.0 262.847 -133.927 181.535 0.0
115 377 0.0 0.0 258.392 -131.657 181.535 0.0
113 378 0.0 0.0 271.757 -138.467 181.535 0.0
114 378 0.0 0.0 267.302 -136.197 181.535 0.0
120 378 0.0 0.0 225.950 -138.462 181.535 0.0
118 379 0.0 0.0 238.739 -146.300 181.535 0.0
119 379 0.0 0.0 234.476 -143.687 181.535 0.0
117 380 0.0 0.0 247.266 -151.525 181.535 0.0
122 381 0.0 0.0 214.389 -155.763 181.535 0.0
113 382 0.0 0.0 268.582 -164.587 181.535 0.0
114 382 0.0 0.0 264.318 -161.975 181.535 0.0
120 382 0.0 0.0 226.525 -164.580 181.535 0.0
112 383 0.0 0.0 277.108 -169.812 181.535 0.0
119 383 0.0 0.0 234.615 -170.458 181.535 0.0
116 385 0.0 0.0 250.795 -182.213 181.535 0.0
115 386 0.0 0.0 258.885 -188.091 181.535 0.0
116 386 0.0 0.0 254.840 -185.152 181.535 0.0
121 386 0.0 0.0 220.518 -188.340 181.535 0.0
120 387 0.0 0.0 228.122 -194.834 181.535 0.0
112 388 0.0 0.0 275.066 -199.847 181.535 0.0
114 392 0.0 0.0 262.340 -224.060 181.535 0.0
113 393 0.0 0.0 269.944 -230.554 181.535 0.0
112 394 0.0 0.0 277.548 -237.049 181.535 0.0
113 394 0.0 0.0 273.746 -233.801 181.535 0.0
123 395 0.0 0.0 207.823 -243.330 181.535 0.0
119 400 0.0 0.0 233.801 -273.746 181.535 0.0
119 341 0.0 0.0 235.589 97.584 181.499 0.0
131 321 0.0 0.0 158.702 218.435 181.290 0.0
124 302 0.0 0.0 203.774 332.530 180.856 0.0
125 303 0.0 0.0 198.549 324.003 180.856 0.0
119 304 0.0 0.0 232.175 319.562 180.856 0.0
125 304 0.0 0.0 195.937 319.740 180.856 0.0
120 305 0.0 0.0 226.297 311.472 180.856 0.0
126 305 0.0 0.0 190.712 311.214 180.856 0.0
121 306 0.0 0.0 223.358 307.426 180.856 0.0
115 307 0.0 0.0 256.532 300.360 180.856 0.0
121 307 0.0 0.0 220.419 303.381 180.856 0.0
122 307 0.0 0.0 217.481 299.336 180.856 0.0
127 307 0.0 0.0 185.487 302.687 180.856 0.0
116 308 0.0 0.0 253.285 296.558 180.856 0.0
