# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
1571 598 0.0 0.0 367.245 163.508 35.990 0.0
1571 599 0.0 0.0 367.245 163.508 33.778 0.0
151 400 0.0 0.0 -224.828 249.697 32.109 0.0
1573 598 0.0 0.0 347.147 154.560 31.941 0.0
1572 598 0.0 0.0 367.245 163.508 31.884 0.0
1571 597 0.0 0.0 367.245 163.508 31.432 0.0
161 387 0.0 0.0 -372.037 413.189 31.310 0.0
1457 1262 0.0 0.0 -327.874 364.141 31.111 0.0
1570 598 0.0 0.0 387.343 172.456 31.003 0.0
162 387 0.0 0.0 -372.037 413.189 31.000 0.0
1573 599 0.0 0.0 347.147 154.560 30.952 0.0
152 400 0.0 0.0 -224.828 249.697 30.722 0.0
156 394 0.0 0.0 -268.990 298.744 30.611 0.0
152 399 0.0 0.0 -239.549 266.046 30.576 0.0
1464 2665 0.0 0.0 28.223 -268.521 30.526 0.0
150 400 0.0 0.0 -224.828 249.697 30.389 0.0
1464 2666 0.0 0.0 28.223 -268.521 30.326 0.0
1458 1262 0.0 0.0 -327.874 364.141 30.176 0.0
1458 1261 0.0 0.0 -327.874 364.141 30.064 0.0
683 1235 0.0 0.0 -28.223 -268.521 30.013 0.0
1457 1261 0.0 0.0 -327.874 364.141 29.983 0.0
161 388 0.0 0.0 -342.595 380.490 29.980 0.0
1572 599 0.0 0.0 347.147 154.560 29.953 0.0
150 401 0.0 0.0 -210.107 233.348 29.913 0.0
151 401 0.0 0.0 -224.828 249.697 29.829 0.0
1464 2668 0.0 0.0 30.522 -290.400 29.810 0.0
163 385 0.0 0.0 -386.757 429.538 29.777 0.0
156 395 0.0 0.0 -268.990 298.744 29.754 0.0
151 399 0.0 0.0 -268.990 298.744 29.689 0.0
154 397 0.0 0.0 -254.270 282.395 29.663 0.0
1879 2075 0.0 0.0 -180.665 200.649 29.655 0.0
1460 1260 0.0 0.0 -342.595 380.490 29.617 0.0
138 297 0.0 0.0 234.000 405.300 29.593 0.0
683 1236 0.0 0.0 -28.223 -268.521 29.581 0.0
163 386 0.0 0.0 -386.757 429.538 29.548 0.0
140 304 0.0 0.0 180.665 200.649 29.527 0.0
153 399 0.0 0.0 -239.549 266.046 29.399 0.0
950 3664 0.0 0.0 246.657 109.819 29.397 0.0
157 394 0.0 0.0 -268.990 298.744 29.382 0.0
159 389 0.0 0.0 -327.874 364.141 29.368 0.0
138 302 0.0 0.0 195.386 216.998 29.336 0.0
159 390 0.0 0.0 -327.874 364.141 29.310 0.0
683 1234 0.0 0.0 -28.223 -268.521 29.309 0.0
162 386 0.0 0.0 -372.037 413.189 29.266 0.0
1570 597 0.0 0.0 387.343 172.456 29.240 0.0
1872 2089 0.0 0.0 137.821 -424.171 29.223 0.0
1871 2088 0.0 0.0 124.225 -382.325 29.199 0.0
1457 1263 0.0 0.0 -313.153 347.792 29.171 0.0
1456 1263 0.0 0.0 -313.153 347.792 29.168 0.0
162 388 0.0 0.0 -342.595 380.490 29.166 0.0
155 395 0.0 0.0 -268.990 298.744 29.149 0.0
1463 2668 0.0 0.0 30.522 -290.400 29.110 0.0
1464 2667 0.0 0.0 28.223 -268.521 29.082 0.0
142 301 0.0 0.0 146.000 252.879 29.061 0.0
949 3664 0.0 0.0 266.755 118.767 29.058 0.0
951 3665 0.0 0.0 246.657 109.819 29.053 0.0
1871 2089 0.0 0.0 137.821 -424.171 29.023 0.0
